pdbid,ligand_cluster_id,protein_cluster_id,combined_cluster_id,partition
1dub,3628,32,378,train
1dud,3628,306,378,train
1duv,3870,142,396,train
1dva,3628,188,378,train
1e00,935,33,87,val
1e2k,3579,34,368,train
1e2l,3579,34,368,train
1e5a,3628,1322,378,train
1e5j,3628,163,378,train
1e8h,3628,35,378,train
1eb1,3628,188,378,train
1ebg,3628,1099,378,train
1ecq,3703,36,382,test
1ecv,3628,296,378,train
1eei,3628,88,378,train
1efi,3628,88,378,train
1egh,3390,78,319,val
1eix,3628,37,378,train
1ej4,3628,638,378,train
1ek1,3628,83,378,train
1ek2,3628,83,378,train
1ekb,3628,188,378,train
1ela,3628,188,378,train
1elb,3628,188,378,train
1elc,3628,188,378,train
1eld,3628,188,378,train
1ele,3628,188,378,train
1elr,3628,1503,378,train
1els,3628,1099,378,train
1ent,3628,338,378,train
1eoc,3628,259,378,train
1eoj,3628,188,378,train
1eol,3628,188,378,train
1evh,3628,945,378,train
1ew9,4645,38,435,val
1ewj,9,39,4,train
1exw,3494,40,341,train
1ez9,3628,1269,378,train
1f1j,3628,176,378,train
1f2o,3628,41,378,train
1f2p,3628,41,378,train
1f3j,3628,179,378,train
1f40,1858,151,160,test
1f57,3628,617,378,train
1f8b,3628,923,378,train
1f8c,3628,923,378,train
1f8d,3628,923,378,train
1f8e,3628,923,378,train
1f90,3628,940,378,train
1f9e,3628,176,378,train
1fao,3628,310,378,train
1fch,3628,837,378,train
1fd7,3628,88,378,train
1fdq,3628,345,378,train
1fe3,3628,345,378,train
1ff1,3628,45,378,train
1fh7,3628,46,378,train
1fh8,3628,46,378,train
1fh9,3628,46,378,train
1fhr,3628,47,378,train
1fj4,72,598,11,val
1fkg,1858,151,160,test
1fkh,1858,151,160,test
1fkn,3628,338,378,train
1flm,1220,48,115,val
1fo0,3628,737,378,train
1fo2,3628,49,378,train
1fpi,3628,407,378,train
1fpy,3628,935,378,train
1fq7,3628,338,378,train
1fsw,3628,951,378,train
1ft4,5639,50,485,train
1fta,3628,407,378,train
1ftj,3628,896,378,train
1fwe,4524,51,425,train
1fwu,3628,52,378,train
1fwv,3628,52,378,train
1fyr,3628,1152,378,train
1fzj,3628,737,378,train
1fzk,3628,737,378,train
1fzm,3628,737,378,train
1fzo,3628,737,378,train
1fzq,3628,932,378,train
1g1d,3628,1505,378,train
1g1e,3628,53,378,train
1g2a,3569,830,363,test
1g2o,3271,21,301,val
1g3f,3628,1058,378,train
1g3m,3628,220,378,train
1g45,3628,1505,378,train
1g46,3628,1505,378,train
1g48,3628,1505,378,train
1g4j,3628,1505,378,train
1g4o,3628,1505,378,train
1g52,3628,1505,378,train
1g53,3628,1505,378,train
1g54,3628,1505,378,train
1g6g,3628,1394,378,train
1g6r,3628,737,378,train
1g6s,689,412,66,test
1g74,3628,345,378,train
1g7p,3628,737,378,train
1g7q,3628,737,378,train
1g7v,3589,559,370,test
1g98,3589,54,370,test
1g9a,3536,75,354,test
1g9b,3536,75,354,test
1g9c,3536,75,354,test
1g9d,3536,75,354,test
1g9r,3628,55,378,train
1ga8,3628,55,378,train
1gag,3628,1254,378,train
1gah,3628,56,378,train
1gai,3628,56,378,train
1gar,3480,1106,338,test
1gbq,3628,455,378,train
1gbt,3628,188,378,train
1gca,3628,898,378,train
1ggd,3628,188,378,train
1gja,3628,188,378,train
1gny,3628,58,378,train
1gpy,3628,166,378,train
1grp,3628,1393,378,train
1gsz,1245,212,117,test
1gt3,935,33,87,val
1gu3,3628,60,378,train
1gui,3628,61,378,train
1guw,3628,62,378,train
1gux,3628,1090,378,train
1gvk,3628,188,378,train
1gvu,3628,338,378,train
1gvw,3628,338,378,train
1gvx,3628,338,378,train
1gwm,3628,63,378,train
1gwq,3628,44,378,train
1gwr,3628,44,378,train
1gwv,3628,129,378,train
1gww,3628,129,378,train
1gx0,3628,129,378,train
1gx4,3628,129,378,train
1gym,3628,65,378,train
1gyy,3461,66,333,train
1gz3,3628,67,378,train
1gz4,3628,67,378,train
1gz9,3628,1074,378,train
1gzc,3628,1074,378,train
1gzg,3628,232,378,train
1gzv,3589,54,370,test
1h0a,3628,68,378,train
1h1h,3628,1060,378,train
1h22,3532,281,353,test
1h23,3532,281,353,test
1h24,3628,893,378,train
1h25,3628,893,378,train
1h26,3628,893,378,train
1h27,3628,893,378,train
1h28,3628,893,378,train
1h2t,3628,69,378,train
1h39,1245,212,117,test
1h3a,1245,212,117,test
1h3b,1245,212,117,test
1h3c,1245,212,117,test
1h3h,3628,455,378,train
1h5v,3628,163,378,train
1h60,2823,70,250,test
1h6e,3628,894,378,train
1h6h,3628,71,378,train
1h79,3628,72,378,train
1h7a,3628,72,378,train
1h8l,2636,73,224,train
1h9l,3628,188,378,train
1haa,3628,225,378,train
1hc9,3628,225,378,train
1hdq,3628,617,378,train
1hdt,3628,188,378,train
1hee,3628,617,378,train
1hge,3628,1073,378,train
1hgi,3628,1073,378,train
1hgj,3628,1073,378,train
1hgt,3628,188,378,train
1hi3,3628,1060,378,train
1hi4,3628,1060,378,train
1hi5,3628,1060,378,train
1him,3628,940,378,train
1hiy,3628,178,378,train
1hk1,3549,57,357,test
1hk2,3549,57,357,test
1hk3,3549,57,357,test
1hk4,3549,57,357,test
1hk5,3549,57,357,test
1hkj,3628,467,378,train
1hkk,3628,467,378,train
1hkm,3628,467,378,train
1hmr,3628,345,378,train
1hms,3628,345,378,train
1hmt,3628,345,378,train
1hnn,2673,242,227,test
1hp5,3628,125,378,train
1hpv,3066,736,273,val
1hqf,3628,1401,378,train
1hqg,3628,1401,378,train
1hqh,3628,1401,378,train
1hs6,3628,1012,378,train
1hsl,3628,1520,378,train
1hti,3390,192,319,val
1hy7,3617,336,376,val
1hyo,3568,309,362,train
1i32,3018,77,269,train
1i33,3018,77,269,train
1i3z,3628,1152,378,train
1i41,1402,973,130,val
1i5d,3628,1578,378,train
1i5h,3628,334,378,train
1i6v,15,557,5,test
1i72,3628,558,378,train
1i8h,3628,334,378,train
1i8i,3628,914,378,train
1i8j,3628,232,378,train
1i9l,3628,1505,378,train
1i9m,3628,1505,378,train
1i9n,3628,1505,378,train
1i9o,3628,1505,378,train
1i9p,3628,1505,378,train
1i9q,3628,1505,378,train
1iau,3628,188,378,train
1ibc,3628,176,378,train
1idg,3628,225,378,train
1iew,3628,891,378,train
1iht,3628,188,378,train
1ii5,3628,896,378,train
1ijr,3628,1152,378,train
1ik4,3390,78,319,val
1ikt,3226,79,298,train
1ilq,3628,80,378,train
1inq,3628,722,378,train
1iq1,3628,1110,378,train
1irs,3628,82,378,train
1is0,3628,1152,378,train
1iup,3628,83,378,train
1iwq,3628,348,378,train
1iy7,3628,617,378,train
1j01,3628,46,378,train
1j19,3628,84,378,train
1j36,3628,779,378,train
1j37,3628,779,378,train
1j4k,3628,47,378,train
1j4p,3628,1394,378,train
1j4q,3628,1394,378,train
1j7z,3628,1060,378,train
1j80,3628,1060,378,train
1j81,3628,1060,378,train
1jak,3628,125,378,train
1jbd,3628,225,378,train
1jcx,3589,559,370,test
1jd0,3628,1505,378,train
1jd5,3628,1058,378,train
1jd6,3628,1058,378,train
1jdj,3545,115,356,train
1jet,3628,1384,378,train
1jeu,3628,1384,378,train
1jev,3628,1384,378,train
1jfh,3628,1241,378,train
1jif,9,85,4,train
1jjk,3628,37,378,train
1jlr,3628,201,378,train
1jlx,3628,86,378,train
1jm4,3628,1168,378,train
1jmf,3628,550,378,train
1jmg,3628,550,378,train
1jmi,3628,550,378,train
1jmq,3628,334,378,train
1jn4,3628,1060,378,train
1joc,3628,87,378,train
1joj,3628,1074,378,train
1jp5,3628,914,378,train
1jpl,3628,98,378,train
1jq3,3628,312,378,train
1jq8,3628,250,378,train
1jq9,3628,250,378,train
1jqy,3628,88,378,train
1jrs,3628,188,378,train
1jt1,3628,1356,378,train
1juf,3628,722,378,train
1juq,3628,98,378,train
1jvu,3628,1060,378,train
1jwm,3628,179,378,train
1jws,3628,179,378,train
1jwu,3628,179,378,train
1jyc,3628,1074,378,train
1jyi,3628,1074,378,train
1k06,3628,166,378,train
1k08,3628,166,378,train
1k1o,3628,188,378,train
1k1p,3628,188,378,train
1k1y,3628,90,378,train
1k21,3628,188,378,train
1k22,3628,188,378,train
1k3n,3628,1394,378,train
1k3q,3628,1394,378,train
1k9q,3628,334,378,train
1k9r,3628,334,378,train
1k9s,3513,135,347,test
1ka7,3628,1152,378,train
1kak,3628,296,378,train
1kat,3628,91,378,train
1kc5,3628,940,378,train
1kcs,3628,940,378,train
1kds,3628,951,378,train
1kdw,3628,951,378,train
1ke0,3628,951,378,train
1ke3,3628,951,378,train
1kf0,3628,1,378,train
1kjr,3628,1180,378,train
1klg,3628,179,378,train
1klu,3628,179,378,train
1km3,3628,37,378,train
1kmy,3628,93,378,train
1kna,3628,62,378,train
1kne,3628,62,378,train
1koj,3589,54,370,test
1kqb,3628,94,378,train
1kti,3628,166,378,train
1kug,3628,456,378,train
1kui,3628,456,378,train
1kuk,3628,456,378,train
1kv5,3390,192,319,val
1l0a,3628,97,378,train
1l2z,3628,96,378,train
1l6m,3628,732,378,train
1l6s,3628,232,378,train
1l6y,3628,232,378,train
1laf,3628,1520,378,train
1lag,3628,1520,378,train
1lah,3628,1520,378,train
1lb6,3628,97,378,train
1lbf,3016,747,268,train
1lbk,3628,0,378,train
1lcj,3628,1152,378,train
1leg,3628,737,378,train
1lek,3628,737,378,train
1lf8,3628,98,378,train
1lf9,3628,99,378,train
1lfo,3628,345,378,train
1lgt,3628,93,378,train
1lhc,3628,188,378,train
1lhd,3628,188,378,train
1lhe,3628,188,378,train
1lhf,3628,188,378,train
1lhg,3628,188,378,train
1lhu,2826,1625,252,train
1lhw,2826,1625,252,train
1li2,3628,1414,378,train
1li3,3628,1414,378,train
1lke,2397,100,208,train
1lkk,3628,1152,378,train
1lkl,3628,1152,378,train
1ll4,3628,467,378,train
1lnm,2397,100,208,train
1lol,3628,37,378,train
1loq,3628,37,378,train
1lor,3628,37,378,train
1los,3628,37,378,train
1lqf,3628,296,378,train
1lrh,3298,101,306,train
1lst,3628,1520,378,train
1lt5,3628,88,378,train
1lt6,3628,88,378,train
1lvc,3628,102,378,train
1lxh,3628,225,378,train
1lyb,3628,338,378,train
1lyx,3390,192,319,val
1lzo,3390,192,319,val
1m0n,1402,583,130,val
1m0o,1402,583,130,val
1m0q,1402,583,130,val
1m2x,3628,1278,378,train
1m48,4655,104,436,train
1m4h,3628,338,378,train
1m5w,3589,105,370,test
1m6p,3628,106,378,train
1m74,3628,534,378,train
1m7d,3628,940,378,train
1m7i,3628,940,378,train
1m7y,1402,107,130,val
1m83,3628,108,378,train
1m9n,3628,146,378,train
1mai,3628,109,378,train
1mau,3628,108,378,train
1maw,3628,108,378,train
1me3,3628,1094,378,train
1me4,3628,1094,378,train
1mf4,3628,250,378,train
1mfa,3628,940,378,train
1mfd,3628,940,378,train
1mfg,3628,411,378,train
1mhw,3628,1094,378,train
1ml1,3390,192,319,val
1mn9,3628,178,378,train
1moq,3628,110,378,train
1mq1,3628,605,378,train
1mrn,3628,112,378,train
1mrs,3628,112,378,train
1ms0,3628,432,378,train
1mto,3628,113,378,train
1mui,3066,736,273,val
1mv0,3628,114,378,train
1mwn,3628,605,378,train
1mwt,2596,922,220,test
1mx1,3532,281,353,test
1mxl,3628,348,378,train
1mxo,3628,951,378,train
1my8,3628,951,378,train
1n1g,3545,115,356,train
1n1t,3628,432,378,train
1n1v,3628,432,378,train
1n3w,3628,1269,378,train
1n3z,3628,1060,378,train
1n43,3367,262,315,test
1n4k,3628,116,378,train
1n4m,3628,1090,378,train
1n5z,3628,117,378,train
1n7j,2673,242,227,test
1n7t,3628,411,378,train
1n8u,934,118,86,train
1n8v,934,118,86,train
1n9m,3367,262,315,test
1nc6,3628,188,378,train
1ndj,3367,262,315,test
1ndw,1986,119,174,val
1ndy,1986,119,174,val
1ndz,1986,119,174,val
1nf8,368,120,40,val
1nfs,2785,448,244,val
1nhg,2891,853,256,train
1nja,3628,550,378,train
1njb,3628,550,378,train
1njc,3628,550,378,train
1njd,3628,550,378,train
1nje,3628,550,378,train
1njf,3628,121,378,train
1njs,3480,1106,338,test
1nlt,3628,123,378,train
1nnb,3628,923,378,train
1nnu,2891,853,256,train
1nox,1220,124,115,val
1np0,3628,125,378,train
1ntv,3628,708,378,train
1nu1,493,181,49,train
1nu3,2356,126,203,train
1nw5,3628,127,378,train
1nw7,3628,127,378,train
1ny2,3628,188,378,train
1nzl,3628,1152,378,train
1nzq,3628,188,378,train
1nzv,3628,1152,378,train
1o0d,3628,188,378,train
1o0f,3628,1060,378,train
1o0h,3628,1060,378,train
1o0m,3628,1060,378,train
1o0n,3628,1060,378,train
1o0o,3628,1060,378,train
1o42,3628,1152,378,train
1o43,3628,1152,378,train
1o44,3628,1152,378,train
1o45,3628,1152,378,train
1o46,3628,1152,378,train
1o47,3628,1152,378,train
1o48,3628,1152,378,train
1o49,3628,1152,378,train
1o4a,3628,1152,378,train
1o4b,3628,1152,378,train
1o4m,3628,1152,378,train
1o5p,250,128,32,test
1o5r,1986,119,174,val
1o6h,1245,212,117,test
1o6q,1245,212,117,test
1o6r,1245,212,117,test
1o7o,3628,129,378,train
1o86,3628,779,378,train
1o9d,3628,1283,378,train
1o9k,3628,1090,378,train
1oai,3628,131,378,train
1oba,3088,132,277,train
1obx,3628,133,378,train
1ocn,3628,134,378,train
1ocq,3628,163,378,train
1od8,3628,46,378,train
1oe7,3628,263,378,train
1oe8,3628,263,378,train
1oeb,3628,455,378,train
1ofz,3628,1549,378,train
1ogd,3628,136,378,train
1ogg,3628,467,378,train
1ogx,2824,137,251,train
1ogz,2824,137,251,train
1oh4,3628,138,378,train
1oif,3628,205,378,train
1oim,3628,205,378,train
1oj5,3628,1381,378,train
1ok7,3628,1028,378,train
1oko,3628,1297,378,train
1okv,3628,893,378,train
1okw,3628,893,378,train
1ol1,3628,893,378,train
1ol2,3628,893,378,train
1om2,3628,522,378,train
1om9,3628,140,378,train
1opi,3628,1600,378,train
1oqp,3628,348,378,train
1ork,57,141,7,train
1os0,3628,1510,378,train
1osg,3628,611,378,train
1osv,3628,44,378,train
1ov3,3628,143,378,train
1ow4,2692,148,230,test
1ow6,3628,144,378,train
1ow7,3628,144,378,train
1ow8,3628,144,378,train
1owe,3628,188,378,train
1owh,3628,188,378,train
1owi,3628,188,378,train
1ox9,3628,145,378,train
1oxg,3628,188,378,train
1oxn,3628,1058,378,train
1oxq,3628,1058,378,train
1oxr,3628,250,378,train
1oy7,3628,1058,378,train
1ozv,3628,147,378,train
1p01,3628,1652,378,train
1p02,3628,1652,378,train
1p03,3628,1652,378,train
1p04,3628,1652,378,train
1p05,3628,1652,378,train
1p06,3628,1652,378,train
1p0y,3628,147,378,train
1p10,3628,1652,378,train
1p2g,3628,166,378,train
1p4u,3628,140,378,train
1p6d,3628,149,378,train
1p6e,3628,149,378,train
1pa9,3628,296,378,train
1pau,3628,176,378,train
1pb8,3628,896,378,train
1pcg,3628,44,378,train
1pdq,3628,62,378,train
1pf7,3271,21,301,val
1pfy,3628,152,378,train
1pg2,3628,152,378,train
1pgp,3589,1327,370,test
1pi4,3628,951,378,train
1pi5,3628,951,378,train
1pig,3628,1241,378,train
1pkx,3628,146,378,train
1pmx,3628,81,378,train
1pop,3628,1094,378,train
1pot,3628,153,378,train
1ppi,3628,1241,378,train
1ppk,3628,338,378,train
1ppl,3628,338,378,train
1ppm,3628,338,378,train
1ppw,2785,448,244,val
1ppx,3628,154,378,train
1pr1,3513,135,347,test
1prl,3628,603,378,train
1prm,3628,603,378,train
1pu7,3473,155,337,train
1pum,3628,156,378,train
1pun,3628,154,378,train
1puq,3628,154,378,train
1pus,3628,154,378,train
1px4,3628,818,378,train
1pxh,3628,296,378,train
1py1,3628,98,378,train
1pyg,3628,166,378,train
1pyw,3628,179,378,train
1pz5,3628,940,378,train
1pzi,3628,88,378,train
1pzj,3628,88,378,train
1q1y,3569,830,363,test
1q4k,3628,157,378,train
1q5l,3628,686,378,train
1q91,3363,1085,314,val
1q95,3596,1502,372,test
1qan,3628,158,378,train
1qaq,3628,158,378,train
1qaw,3628,159,378,train
1qbv,3628,188,378,train
1qca,126,160,20,train
1qcp,3628,188,378,train
1qf0,3628,1510,378,train
1qf1,3628,1510,378,train
1qf4,3225,161,297,train
1qf5,3225,161,297,train
1qft,3362,162,313,train
1qhc,3628,1060,378,train
1qi0,3628,163,378,train
1qja,3628,1283,378,train
1qjb,3628,1283,378,train
1qka,3628,1384,378,train
1qkb,3628,1384,378,train
1qm5,3628,166,378,train
1qon,3532,281,353,test
1qq9,3628,41,378,train
1qsc,3628,97,378,train
1qtn,3628,176,378,train
1qvt,3396,167,321,val
1qvu,3396,167,321,val
1qw7,4794,740,440,train
1qwe,3628,603,378,train
1qwf,3628,603,378,train
1qxl,1986,119,174,val
1qy1,214,424,28,train
1qy2,214,424,28,train
1r0x,3628,264,378,train
1r10,3628,264,378,train
1r17,3628,1128,378,train
1r1h,3628,555,378,train
1r1i,3628,555,378,train
1r1j,3628,555,378,train
1r4w,3628,316,378,train
1r5n,3628,25,378,train
1r5v,3628,179,378,train
1r5w,3628,179,378,train
1r6n,5696,169,490,train
1r6z,3628,1269,378,train
1r9l,3361,170,312,test
1rbo,3589,523,370,test
1rdi,3628,172,378,train
1rdj,3628,172,378,train
1rdl,3628,172,378,train
1rdn,3628,172,378,train
1rgj,3628,225,378,train
1rgk,3628,10,378,train
1rgl,3628,10,378,train
1rhk,3628,176,378,train
1rhq,3628,176,378,train
1rin,3628,1074,378,train
1rlp,3628,603,378,train
1rlq,3628,603,378,train
1rmz,3617,336,376,val
1rnm,3628,1060,378,train
1rnt,3628,10,378,train
1ro7,3628,173,378,train
1rpa,3628,1127,378,train
1rpf,3628,1060,378,train
1rpj,3628,898,378,train
1rql,5791,174,500,train
1rr6,3271,21,301,val
1rri,2393,175,207,train
1rs4,2393,175,207,train
1rsd,2393,175,207,train
1rt9,3271,21,301,val
1ryf,3628,932,378,train
1ryh,3628,932,378,train
1rzx,3628,1042,378,train
1s26,3628,102,378,train
1s3k,3628,737,378,train
1s4d,3628,177,378,train
1s50,3628,896,378,train
1s5q,3628,53,378,train
1s5z,3628,178,378,train
1s89,3390,78,319,val
1s9v,3628,179,378,train
1sc8,3628,188,378,train
1sfi,3628,188,378,train
1shc,3628,708,378,train
1shd,3628,1152,378,train
1sje,3628,179,378,train
1sjh,3628,179,378,train
1skj,3628,1152,378,train
1sm3,3628,940,378,train
1sme,3628,338,378,train
1snk,3628,1094,378,train
1sps,3628,1152,378,train
1sqa,3628,188,378,train
1sqo,3628,188,378,train
1ssq,3628,183,378,train
1std,1472,433,137,train
1stp,3367,262,315,test
1sv3,3628,250,378,train
1sw2,3361,184,312,test
1swg,3367,262,315,test
1swk,3367,262,315,test
1swn,3367,262,315,test
1swp,3367,262,315,test
1swr,3367,262,315,test
1syo,3628,186,378,train
1sz0,3628,186,378,train
1szd,3628,858,378,train
1t08,3628,826,378,train
1t13,1221,187,116,test
1t29,3628,734,378,train
1t2v,3628,734,378,train
1t37,3628,250,378,train
1t3t,3628,189,378,train
1t4s,3628,1401,378,train
1t5f,3628,1401,378,train
1t79,3628,44,378,train
1t7d,5600,190,483,val
1t7f,3628,44,378,train
1t7j,3066,736,273,val
1t7r,3628,44,378,train
1ta2,3628,188,378,train
1ta6,3628,188,378,train
1tbz,3628,188,378,train
1td7,3628,250,378,train
1tet,3628,940,378,train
1thl,3628,1510,378,train
1thr,3628,188,378,train
1ths,3628,188,378,train
1tl7,3628,535,378,train
1tl9,3628,378,378,train
1tlo,3628,378,378,train
1tlp,3628,1510,378,train
1tmn,3628,1510,378,train
1tnh,3628,188,378,train
1tni,3628,188,378,train
1tnj,3628,188,378,train
1tnk,3628,188,378,train
1tog,3628,251,378,train
1toi,3628,251,378,train
1toj,3628,251,378,train
1tom,3628,188,378,train
1tpw,3390,192,319,val
1tpz,3628,193,378,train
1tq4,3628,193,378,train
1tr7,3628,1424,378,train
1trd,3390,192,319,val
1tsv,3628,550,378,train
1tsy,3628,550,378,train
1tve,3748,195,386,train
1txr,3628,41,378,train
1tys,3628,550,378,train
1tze,3628,1152,378,train
1u0g,3589,54,370,test
1u0h,3628,535,378,train
1u1b,3628,1060,378,train
1u1w,3628,196,378,train
1u2r,3628,510,378,train
1u8t,3628,398,378,train
1u9l,3628,197,378,train
1u9q,3628,1094,378,train
1ua4,3628,1288,378,train
1ucn,3628,178,378,train
1udt,1413,423,131,val
1uef,3628,198,378,train
1ugp,3628,967,378,train
1ugw,3628,256,378,train
1ugx,3628,256,378,train
1ugy,3628,256,378,train
1uh1,3628,256,378,train
1ui0,686,199,63,train
1uj0,3628,455,378,train
1uj5,3589,130,370,test
1uj6,3589,130,370,test
1ujj,3628,98,378,train
1ujk,3628,98,378,train
1ukh,3628,893,378,train
1ukt,3628,1241,378,train
1ule,3628,419,378,train
1ulg,3628,419,378,train
1uml,1986,119,174,val
1umw,3628,157,378,train
1uod,3578,200,367,test
1upk,3628,202,378,train
1ur9,3628,467,378,train
1urc,3628,893,378,train
1urg,3628,1269,378,train
1usi,3628,203,378,train
1usk,3628,203,378,train
1utc,3628,488,378,train
1uti,3628,455,378,train
1utj,3628,188,378,train
1utl,3628,188,378,train
1utm,3628,188,378,train
1utn,3628,188,378,train
1uto,3628,188,378,train
1utp,3628,188,378,train
1utr,4786,204,439,train
1uwf,3628,1424,378,train
1ux7,3628,206,378,train
1uxa,3628,685,378,train
1uxb,3628,685,378,train
1uy6,2044,231,181,val
1uy7,2044,231,181,val
1uy8,2044,231,181,val
1uy9,2044,231,181,val
1uyc,2044,231,181,val
1uyd,2044,231,181,val
1uye,2044,231,181,val
1uyf,2044,231,181,val
1uyg,2044,231,181,val
1uyh,2044,231,181,val
1uyi,2044,231,181,val
1uyk,2044,231,181,val
1uym,2044,231,181,val
1uz4,929,207,84,train
1uz8,3628,940,378,train
1uze,3628,779,378,train
1v0k,3628,46,378,train
1v0l,3628,46,378,train
1v0m,3628,46,378,train
1v0n,3628,46,378,train
1v79,1986,119,174,val
1v7a,1986,119,174,val
1vcu,3628,432,378,train
1vea,3628,208,378,train
1vj5,3628,83,378,train
1vj6,3628,1196,378,train
1vj9,3628,188,378,train
1vja,3628,188,378,train
1vjc,3628,1,378,train
1vjd,3628,1,378,train
1vkj,3628,209,378,train
1vr1,3628,188,378,train
1vyf,3628,345,378,train
