pdbid,ligand_cluster_id,protein_cluster_id,combined_cluster_id
4pov,1162,697,107
2wva,1163,585,108
3d7k,1163,585,108
3exe,1163,139,108
3fzn,1163,585,108
5edl,1163,1150,108
6ouv,1163,1613,108
2lh8,1164,358,109
5v3x,1182,1339,110
5v3y,1182,1339,110
5v40,1182,1339,110
5v41,1182,1339,110
5v42,1182,1339,110
3pb7,1201,845,111
3pbb,1201,845,111
4f9u,1201,845,111
4f9v,1201,845,111
4fai,1201,845,111
4fbe,1201,845,111
4mhy,1201,845,111
4mhz,1201,845,111
4dkp,1210,724,112
4dkq,1210,724,112
4dkr,1210,724,112
4i54,1210,724,112
5f4l,1210,724,112
5f4p,1210,724,112
5f4r,1210,724,112
5f4u,1210,724,112
2c92,1216,95,113
2c94,1216,95,113
2c9d,1216,95,113
2cc7,1218,265,114
2ccc,1218,265,114
1akq,1220,4,115
1akr,1220,4,115
1akt,1220,4,115
1akw,1220,4,115
1azl,1220,4,115
1bkj,1220,14,115
1c7f,1220,4,115
1czk,1220,255,115
1czl,1220,255,115
1czr,1220,255,115
1flm,1220,48,115
1nox,1220,124,115
2vxa,1220,452,115
3fgc,1220,578,115
4d1y,1220,821,115
4zzd,1220,574,115
5umw,1220,1326,115
5umx,1220,1326,115
1t13,1221,187,116
1gsz,1245,212,117
1h39,1245,212,117
1h3a,1245,212,117
1h3b,1245,212,117
1h3c,1245,212,117
1o6h,1245,212,117
1o6q,1245,212,117
1o6r,1245,212,117
1w6j,1245,212,117
4g2r,1249,862,118
5bnr,1253,1119,119
5bns,1253,1119,119
5bqs,1253,1119,119
5t2t,1259,1256,120
3h0s,1273,577,121
4wyo,1273,577,121
5ctb,1273,577,121
5ctc,1273,577,121
5cte,1273,577,121
2xg5,1286,481,122
5f1r,1286,1486,122
6ev0,1286,1486,122
6exm,1286,1486,122
2bow,1323,258,123
3gzn,1333,592,124
5l6i,1333,592,124
4x5y,1362,883,125
4x5z,1362,883,125
5db0,1362,883,125
5db1,1362,883,125
5db2,1362,883,125
5db3,1362,883,125
6bxy,1362,883,125
6by8,1362,883,125
3doy,1363,291,126
3doz,1363,291,126
3dp0,1363,291,126
3dp1,1363,291,126
3dp2,1363,291,126
3dp3,1363,291,126
3njq,1375,979,127
4p2t,1375,979,127
4p3h,1375,979,127
5v5d,1375,979,127
5v5e,1375,979,127
3jrs,1390,1328,128
3w9r,1390,1328,128
4jda,1390,1328,128
5ujv,1390,1328,128
4en4,1401,836,129
5aes,1401,1111,129
1i41,1402,973,130
1m0n,1402,583,130
1m0o,1402,583,130
1m0q,1402,583,130
1m7y,1402,107,130
1zc9,1402,583,130
2w8j,1402,460,130
2w8w,1402,460,130
3fq7,1402,583,130
4gdy,1402,868,130
4ge4,1402,868,130
4ge7,1402,868,130
4oma,1402,973,130
5w19,1402,1349,130
1udt,1413,423,131
1xos,1413,423,131
2h42,1413,423,131
3bjc,1413,529,131
3jwq,1413,423,131
3shy,1413,423,131
3shz,1413,423,131
3sie,1413,423,131
4g2w,1413,423,131
4g2y,1413,423,131
4ia0,1413,423,131
4oew,1413,423,131
4oex,1413,423,131
3zmh,1417,772,132
3zmi,1417,772,132
3zmj,1417,772,132
3zot,1417,772,132
3q92,1421,699,133
3qa2,1421,699,133
3qai,1421,699,133
5xig,1430,1340,134
5xih,1430,1340,134
5xii,1430,1340,134
4p7m,1449,983,135
5j8x,1464,238,136
1std,1472,433,137
4std,1472,433,137
6nze,1520,1331,138
6nzf,1520,1331,138
6nzh,1520,1331,138
6nzr,1520,1331,138
5j4v,1529,1225,139
5j4y,1529,1225,139
4o24,1534,964,140
4o43,1534,964,140
4e8w,1536,835,141
4e8y,1536,835,141
4e8z,1536,835,141
2pzi,1555,403,142
6ooy,1612,627,143
6ooz,1612,627,143
6op0,1612,627,143
2q1l,1620,540,144
2q6b,1620,540,144
2q6c,1620,540,144
3bgl,1620,540,144
3cct,1620,540,144
3ccw,1620,540,144
3ccz,1620,540,144
3cd0,1620,540,144
3cd7,1620,540,144
3cda,1620,540,144
3cdb,1620,540,144
4ncm,1634,1153,145
4p1u,1634,1153,145
5jur,1634,1153,145
5wl0,1634,1153,145
6euv,1634,1153,145
6euw,1634,1153,145
6eux,1634,1153,145
4azt,1658,792,146
6cck,1662,1287,147
6chl,1662,1287,147
6chn,1662,1287,147
6cho,1662,1287,147
6chp,1662,1287,147
4ibb,1669,886,148
4ibc,1669,886,148
4ibd,1669,886,148
4ibe,1669,886,148
4ibf,1669,886,148
3zrc,1681,1307,149
3ztc,1681,1307,149
3ztd,1681,1307,149
4b95,1681,1307,149
4b9k,1681,1307,149
4bks,1681,1307,149
4bkt,1681,1307,149
4w9c,1681,1307,149
4w9d,1681,1307,149
4w9e,1681,1307,149
4w9f,1681,1307,149
4w9g,1681,1307,149
4w9h,1681,1307,149
4w9i,1681,1307,149
4w9j,1681,1307,149
4w9k,1681,1307,149
4w9l,1681,1307,149
5lli,1681,1307,149
5nvv,1681,1307,149
5nvw,1681,1307,149
5nvx,1681,1307,149
5nvy,1681,1307,149
5nvz,1681,1307,149
5nw0,1681,1307,149
5nw1,1681,1307,149
5nw2,1681,1307,149
5t35,1681,1307,149
6dne,1681,1461,149
6fmi,1681,1307,149
6fmj,1681,1307,149
6fmk,1681,1307,149
6gfy,1681,1307,149
6gfz,1681,1307,149
6hax,1681,1307,149
6hay,1681,1307,149
6hr2,1681,1307,149
2wxp,1696,1176,150
3dbs,1696,1176,150
3l13,1696,1176,150
3l16,1696,1176,150
3l17,1696,1176,150
3zim,1696,1176,150
4ezj,1696,1176,150
4ezk,1696,1176,150
4ezl,1696,1176,150
6d2o,1711,1452,151
2jf4,1724,330,152
2wtx,1724,471,152
5z66,1724,330,152
3vva,1750,1400,153
3w54,1750,1400,153
4gfd,1801,746,154
4gsy,1801,746,154
4hdc,1801,746,154
4hej,1801,746,154
4hlc,1801,746,154
4hld,1801,746,154
4qg7,1801,746,154
4qga,1801,746,154
4qgf,1801,746,154
4qgg,1801,746,154
4qgh,1801,746,154
5g0q,1809,1175,155
3nzk,1819,1144,156
3p3g,1819,1144,156
3ps1,1819,1144,156
4lch,1819,1144,156
5dro,1819,1144,156
5drq,1819,1144,156
5drr,1819,1144,156
5u3b,1819,1144,156
6mo4,1819,1144,156
6mo5,1819,1144,156
6mod,1819,1144,156
6moo,1819,1144,156
3t01,1833,713,157
2cht,1836,267,158
2gtv,1836,293,158
5l87,1849,1250,159
5l8a,1849,1250,159
5n8v,1849,1250,159
1bl4,1858,151,160
1f40,1858,151,160
1fkg,1858,151,160
1fkh,1858,151,160
4drk,1858,151,160
4drm,1858,151,160
4drn,1858,151,160
4dro,1858,151,160
4drp,1858,151,160
4tw6,1858,151,160
4tw7,1858,151,160
4tw8,1858,151,160
5dit,1858,151,160
5diu,1858,151,160
5div,1858,151,160
6saf,1858,151,160
5l9g,1872,840,161
5l9l,1872,840,161
4ucc,1874,1036,162
4ucd,1874,1036,162
4uce,1874,1036,162
5eqe,1878,576,163
5eqp,1878,576,163
5eqy,1878,576,163
3oyp,1898,277,164
3p8n,1898,277,164
3p8o,1898,277,164
3su0,1898,277,164
3su1,1898,277,164
3su2,1898,277,164
4ktc,1898,277,164
4nwk,1898,277,164
5epn,1898,277,164
5epy,1898,277,164
5eqq,1898,277,164
5etx,1898,277,164
5voj,1898,277,164
5vp9,1898,277,164
6bqk,1898,277,164
6cvw,1898,277,164
6cvx,1898,277,164
6cvy,1898,277,164
5c4k,1911,594,165
5c4l,1911,594,165
6cwf,1912,1449,166
6cwh,1912,1449,166
6cwi,1912,1449,166
6cwn,1912,1449,166
3ejp,1918,556,167
3ejq,1918,556,167
3ejr,1918,556,167
3ejs,1918,556,167
3ejt,1918,556,167
3eju,1918,556,167
4jvj,1924,406,168
4l2x,1924,406,168
4lpg,1924,406,168
4lph,1924,406,168
5juz,1924,406,168
5jv0,1924,406,168
5jv1,1924,406,168
5ksx,1924,406,168
6n7y,1924,406,168
6n7z,1924,406,168
6n82,1924,406,168
6n83,1924,406,168
6oag,1924,406,168
6oah,1924,406,168
3mj5,1946,640,169
4ovz,1946,640,169
4ow0,1946,640,169
3p2h,1950,662,170
4hwo,1957,879,171
4hwp,1957,879,171
4hwr,1957,879,171
4hws,1957,879,171
4hwt,1957,879,171
4jlj,1962,449,172
4jlm,1962,449,172
4jln,1962,449,172
4kcg,1962,449,172
4q18,1962,449,172
4q19,1962,449,172
4q1a,1962,449,172
4q1b,1962,449,172
4q1c,1962,449,172
4q1d,1962,449,172
4q1e,1962,449,172
4q1f,1962,449,172
4b71,1973,798,173
4b73,1973,798,173
4b74,1973,798,173
1ndw,1986,119,174
1ndy,1986,119,174
1ndz,1986,119,174
1o5r,1986,119,174
1qxl,1986,119,174
1uml,1986,119,174
1v79,1986,119,174
1v7a,1986,119,174
1wxz,1986,119,174
2e1w,1986,119,174
6oa1,2000,1606,175
6oa3,2000,1606,175
2dua,2004,270,176
2hwg,2004,92,176
2xb9,2019,59,177
4b6r,2019,59,177
4b6s,2019,59,177
1z9h,2021,239,178
6e7r,2023,680,179
6e7s,2023,680,179
6e7t,2023,680,179
6e7u,2023,680,179
6e7v,2023,680,179
6e7w,2023,680,179
6e7x,2023,680,179
6ax1,2035,1434,180
1uy6,2044,231,181
1uy7,2044,231,181
1uy8,2044,231,181
1uy9,2044,231,181
1uyc,2044,231,181
1uyd,2044,231,181
1uye,2044,231,181
1uyf,2044,231,181
1uyg,2044,231,181
1uyh,2044,231,181
1uyi,2044,231,181
1uyk,2044,231,181
1uym,2044,231,181
6el5,2044,231,181
6n8x,2044,231,181
6n8y,2044,231,181
6olx,2044,231,181
6gxg,2058,1527,182
6gxy,2058,1527,182
2q7m,2100,1634,183
3eka,2110,566,184
6bgu,2117,1174,185
6bgv,2117,1174,185
6bgw,2117,1174,185
6bgx,2117,1174,185
6bgy,2117,1174,185
6bgz,2117,1174,185
6bh0,2117,1174,185
6bh1,2117,1174,185
6bh5,2117,1174,185
4mvw,2127,89,186
4mvx,2127,89,186
4mvy,2127,89,186
4mw0,2127,89,186
4mw1,2127,89,186
4mw2,2127,89,186
4mw4,2127,89,186
4mw5,2127,89,186
4mw6,2127,89,186
4mw7,2127,89,186
4mw9,2127,89,186
4mwb,2127,89,186
4mwc,2127,89,186
4mwe,2127,89,186
4py2,2127,89,186
5k0t,2127,89,186
2ly0,2132,364,187
3bl7,2141,1303,188
3bl9,2141,1303,188
2am1,2154,770,189
2am2,2154,770,189
3zm5,2154,770,189
3zm6,2154,770,189
4um3,2166,1038,190
5kau,2181,1237,191
5kax,2181,1235,191
3fcf,2184,575,192
3fci,2184,575,192
3fck,2184,575,192
3fcl,2184,575,192
4zow,2225,1102,193
4mqu,2226,758,194
4mro,2226,758,194
4msu,2226,758,194
4ohk,2226,758,194
4ohm,2226,758,194
4oho,2226,758,194
4ohp,2226,758,194
4olh,2226,758,194
4rlt,2264,1016,195
5mw6,2293,1193,196
5mwd,2293,1193,196
5x4p,2293,1193,196
5x4q,2293,1193,196
5aoj,2300,1289,197
5o1a,2300,1289,197
5o1b,2300,1289,197
5o1c,2300,1289,197
5o1d,2300,1289,197
5o1e,2300,1289,197
5o1f,2300,1289,197
5o1g,2300,1289,197
5o1h,2300,1289,197
4gui,2311,873,198
4iuo,2311,873,198
4bt3,2312,805,199
4bt4,2312,805,199
4bt5,2312,805,199
4umj,2327,1040,200
5eyr,2337,1547,201
5f04,2337,1547,201
5f08,2337,1547,201
5f0f,2337,1547,201
5f0h,2337,1547,201
5f1j,2337,1547,201
5a7i,2350,1107,202
5a7j,2350,1107,202
1nu3,2356,126,203
3g0i,2356,586,203
3uo9,2374,1213,204
3voz,2374,1213,204
3vp1,2374,1213,204
4jkt,2374,1213,204
5fi6,2374,1213,204
5fi7,2374,1213,204
5i94,2374,1213,204
5jyp,2374,1213,204
5wj6,2374,1213,204
3rr4,2381,997,205
3s1g,2381,997,205
3tll,2381,997,205
4puj,2381,997,205
4puk,2381,997,205
4pul,2381,997,205
4pum,2381,997,205
4q4o,2381,997,205
4q4p,2381,997,205
4q4q,2381,997,205
4q4r,2381,997,205
4q4s,2381,997,205
5hk2,2387,1458,206
1rri,2393,175,207
1rs4,2393,175,207
1rsd,2393,175,207
1lke,2397,100,208
1lnm,2397,100,208
4n1t,2423,1481,209
4n1u,2423,1481,209
5hzx,2423,1481,209
5mzg,2423,1481,209
6ehh,2423,1481,209
3hy5,2481,974,210
4ciz,2481,974,210
6py0,2481,1624,210
3lhs,2520,626,211
3li2,2520,626,211
2yg2,2521,497,212
4oi6,2521,971,212
4rgd,2521,1015,212
5go2,2521,1183,212
5ien,2541,1215,213
5ieo,2541,1215,213
5iep,2541,1215,213
5f91,2543,1644,214
6s43,2543,1644,214
6s7k,2543,1644,214
6s7s,2543,1644,214
6s7z,2543,1644,214
6s88,2543,1644,214
4yc0,2546,966,215
6af9,2573,1418,216
6afa,2573,1418,216
6afc,2573,1418,216
6afd,2573,1418,216
6afe,2573,1418,216
6aff,2573,1418,216
3ad8,2581,516,217
4kot,2592,921,218
4kov,2592,921,218
4kow,2592,921,218
4kox,2592,921,218
4oon,2595,1201,219
1mwt,2596,922,220
4kqo,2596,922,220
4kqq,2596,922,220
4kqr,2596,922,220
5zku,2600,1403,221
5zla,2600,1403,221
4x60,2604,1156,222
4x61,2604,1156,222
4x63,2604,1156,222
5emk,2604,1156,222
5eml,2604,1156,222
5emm,2604,1156,222
4dhl,2618,1514,223
6g46,2618,1514,223
1h8l,2636,73,224
3mn8,2636,73,224
2vzr,2655,453,225
2w87,2655,453,225
5j5r,2658,618,226
6d4q,2658,618,226
6d4r,2658,618,226
6d4s,2658,618,226
6d4u,2658,618,226
6d4v,2658,618,226
6d4w,2658,618,226
1hnn,2673,242,227
1n7j,2673,242,227
2g70,2673,242,227
2g71,2673,242,227
2g72,2673,242,227
2g8n,2673,242,227
2obf,2673,242,227
2ony,2673,242,227
2onz,2673,242,227
2opb,2673,242,227
4mrf,2673,954,227
4mrg,2673,954,227
2yne,2675,793,228
4b11,2675,793,228
4b12,2675,793,228
4b13,2675,793,228
4b14,2675,793,228
4bbh,2675,793,228
4cae,2675,793,228
4caf,2675,793,228
2k0x,2686,340,229
4m7x,2686,941,229
4m7y,2686,941,229
5elz,2686,941,229
5jic,2686,941,229
6ai9,2686,1422,229
1ow4,2692,148,230
6i11,2731,1553,231
6i12,2731,1553,231
6i13,2731,1553,231
6i14,2731,1553,231
6i16,2731,1553,231
6i17,2731,1553,231
6i18,2731,1553,231
6hk6,2732,695,232
5ylj,2735,1367,233
5yls,2735,1367,233
4j58,2738,506,234
4j59,2738,506,234
4j5b,2738,506,234
4j5c,2738,506,234
4j5d,2738,506,234
4j5e,2738,506,234
6gji,2738,506,234
6gjj,2738,506,234
6gjl,2738,506,234
6gjm,2738,506,234
6gjn,2738,506,234
6gjr,2738,506,234
6gjy,2738,506,234
6r8l,2738,506,234
6r8o,2738,506,234
4luo,2744,937,235
4luz,2744,937,235
4lwc,2744,937,235
4o0a,2744,937,235
4r4c,2744,937,235
4r4i,2744,937,235
4r4o,2744,937,235
4r4q,2744,937,235
4r4t,2744,937,235
2jfh,2754,493,236
2uuo,2754,493,236
2uup,2754,493,236
2vtd,2754,493,236
2vte,2754,493,236
2xpc,2754,493,236
2y67,2754,493,236
3wqm,2770,765,237
4w4s,2771,1045,238
6n3z,2773,1589,239
6n5h,2773,1589,239
6ny0,2781,1601,240
2oi2,2782,389,241
4s3e,2783,1022,242
4s3f,2783,1022,242
5u9i,2784,1338,243
5v35,2784,1338,243
6eiz,2784,1477,243
1nfs,2785,448,244
1ppw,2785,448,244
2o1c,2785,381,244
2vnp,2785,448,244
3cke,2785,544,244
3g4f,2785,1332,244
3lpl,2785,417,244
3tvl,2785,730,244
4h4d,2785,875,244
4h4e,2785,875,244
4jkw,2785,915,244
4k55,2785,915,244
4n7u,2785,1410,244
4tq3,2785,1026,244
5uv1,2785,1332,244
5uv2,2785,1332,244
5zxk,2785,1410,244
6j0g,2785,1410,244
6j0k,2785,1410,244
5ogl,2787,1299,245
3g3r,2789,587,246
5cr7,2815,1131,247
1zhy,2821,240,248
6rtw,2821,1641,248
3qps,2822,689,249
3qqa,2822,689,249
3zqe,2822,773,249
4qn9,2822,1006,249
5dlv,2822,1219,249
5kew,2822,1240,249
5m0d,2822,1219,249
5m0m,2822,1219,249
5m0s,2822,1219,249
6gvz,2822,1526,249
6gw1,2822,1526,249
6gw4,2822,1526,249
1h60,2823,70,250
2v95,2823,440,250
4bb2,2823,440,250
5cw8,2823,1134,250
5cxi,2823,1134,250
5hgc,2823,440,250
5ier,2823,1216,250
5if6,2823,1216,250
6hgf,2823,440,250
6hgg,2823,440,250
6hgi,2823,440,250
6hgj,2823,440,250
1ogx,2824,137,251
1ogz,2824,137,251
1w6y,2824,137,251
5ai1,2824,137,251
1lhu,2826,1625,252
1lhw,2826,1625,252
3hb4,2826,76,252
6mnc,2826,76,252
2wj1,2837,103,253
2wj2,2837,103,253
3k7f,2837,103,253
3k83,2837,103,253
3k84,2837,103,253
3ppm,2837,103,253
3pr0,2837,103,253
4j5p,2837,103,253
1b2i,2854,619,254
1ceb,2854,619,254
3q2m,2862,677,255
1nhg,2891,853,256
1nnu,2891,853,256
4w9n,2891,1047,256
2wyi,2892,472,257
6ohu,2894,1608,258
5zcu,2919,616,259
4fev,2942,676,260
4few,2942,676,260
4gkh,2942,676,260
4gki,2942,676,260
2qve,2972,426,261
2rjs,2972,426,261
2fw3,2973,287,262
2rcu,2973,287,262
3p7i,2974,664,263
6ssy,2974,1646,263
6bto,2978,164,264
3u78,2991,1518,265
5ml2,2999,718,266
5ml3,2999,718,266
5ml4,2999,718,266
5ml6,2999,718,266
5ml8,2999,718,266
4y67,3007,489,267
4y6p,3007,489,267
4y6r,3007,489,267
4y6s,3007,489,267
5jaz,3007,489,267
5jbi,3007,489,267
5jc1,3007,489,267
5jmp,3007,489,267
5jmw,3007,489,267
5jnl,3007,489,267
5jo0,3007,489,267
1lbf,3016,747,268
4ewn,3016,841,268
1i32,3018,77,269
1i33,3018,77,269
2mas,3031,369,270
3mkn,3031,369,270
4ajk,3032,22,271
4ajl,3032,22,271
4ajn,3032,22,271
4ajo,3032,22,271
4al4,3032,22,271
4kvm,3046,924,272
5icv,3046,1214,272
1hpv,3066,736,273
1mui,3066,736,273
1t7j,3066,736,273
2f80,3066,736,273
2f81,3066,736,273
2f8g,3066,736,273
2fdd,3066,736,273
2fde,3066,736,273
2hb3,3066,736,273
2hs1,3066,736,273
2hs2,3066,736,273
2i0a,3066,736,273
2i0d,3066,736,273
2i4d,3066,736,273
2i4u,3066,736,273
2i4v,3066,736,273
2i4w,3066,736,273
2i4x,3066,736,273
2idw,3066,736,273
2ien,3066,736,273
2ieo,3066,736,273
2o4s,3066,736,273
2psu,3066,736,273
2psv,3066,736,273
2q54,3066,736,273
2q55,3066,736,273
2q5k,3066,736,273
2qci,3066,736,273
2qd6,3066,736,273
2qd7,3066,736,273
2qd8,3066,736,273
2qhc,3066,736,273
2qhy,3066,736,273
2qhz,3066,736,273
2qi0,3066,736,273
2qi1,3066,736,273
2qi3,3066,736,273
2qi4,3066,736,273
2qi5,3066,736,273
2qi6,3066,736,273
2qi7,3066,736,273
2rkf,3066,736,273
2rkg,3066,736,273
2z4o,3066,736,273
3bvb,3066,736,273
3cyw,3066,736,273
3d1z,3066,736,273
3d20,3066,736,273
3djk,3066,736,273
3dk1,3066,736,273
3ekp,3066,736,273
3ekt,3066,736,273
3ekv,3066,736,273
